#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACER1	CERS4	9606.ENSP00000301452	9606.ENSP00000251363	0	0	0.900	0	0.900
ACER1	CERS3	9606.ENSP00000301452	9606.ENSP00000284382	0	0	0.900	0	0.900
AGR2	LYPD3	9606.ENSP00000391490	9606.ENSP00000244333	0	0.421	0	0	0.420
AGR2	DCD	9606.ENSP00000391490	9606.ENSP00000406773	0	0.420	0	0	0.420
ALDH3A1	CASP14	9606.ENSP00000411821	9606.ENSP00000393417	0	0.441	0	0	0.441
ALDH3A1	ALDH3B2	9606.ENSP00000411821	9606.ENSP00000501254	0	0	0.900	0	0.900
ALOX12	ITGB4	9606.ENSP00000251535	9606.ENSP00000200181	0	0.457	0	0	0.457
AP1M2	EPN3	9606.ENSP00000465685	9606.ENSP00000268933	0	0	0.540	0	0.540
AP1M2	HLA-DQB2	9606.ENSP00000465685	9606.ENSP00000396330	0	0	0.500	0	0.499
AQP3	AQP5	9606.ENSP00000297991	9606.ENSP00000293599	0	0	0.500	0	0.499
AZGP1	PIP	9606.ENSP00000292401	9606.ENSP00000291009	0	0.800	0.900	0	0.979
CBLC	FGFR3	9606.ENSP00000494162	9606.ENSP00000339824	0	0	0.650	0	0.650
CBLC	FGFR2	9606.ENSP00000494162	9606.ENSP00000410294	0	0	0.650	0	0.650
CDS1	MUC15	9606.ENSP00000295887	9606.ENSP00000431983	0	0.448	0	0	0.448
CDSN	TGM1	9606.ENSP00000365465	9606.ENSP00000206765	0	0	0.500	0	0.499
CDSN	CSTA	9606.ENSP00000365465	9606.ENSP00000264474	0	0	0.500	0	0.499
CDSN	SPRR1B	9606.ENSP00000365465	9606.ENSP00000306461	0	0	0.500	0	0.499
CDSN	PPL	9606.ENSP00000365465	9606.ENSP00000340510	0	0	0.500	0	0.499
CDSN	LCE1B	9606.ENSP00000365465	9606.ENSP00000353203	0	0	0.500	0	0.499
CDSN	LOR	9606.ENSP00000365465	9606.ENSP00000357731	0	0	0.500	0	0.499
CDSN	SPRR2G	9606.ENSP00000365465	9606.ENSP00000357737	0	0	0.500	0	0.499
CDSN	SPRR1A	9606.ENSP00000365465	9606.ENSP00000357751	0	0	0.500	0	0.499
CDSN	IVL	9606.ENSP00000365465	9606.ENSP00000357753	0	0	0.500	0	0.499
CDSN	LCE2B	9606.ENSP00000365465	9606.ENSP00000357769	0	0	0.500	0	0.499
CDSN	EVPL	9606.ENSP00000365465	9606.ENSP00000465630	0	0	0.500	0	0.499
CERS3	CERS4	9606.ENSP00000284382	9606.ENSP00000251363	0	0	0.900	0	0.900
CFTR	PDZK1	9606.ENSP00000003084	9606.ENSP00000342143	0	0.457	0	0	0.457
CLCA2	CLCA4	9606.ENSP00000359596	9606.ENSP00000359594	0	0	0.900	0	0.900
CLDN1	CLDN8	9606.ENSP00000295522	9606.ENSP00000382783	0	0	0.650	0	0.650
COL17A1	ITGB4	9606.ENSP00000497653	9606.ENSP00000200181	0	0.457	0.500	0	0.716
COL17A1	LAMC2	9606.ENSP00000497653	9606.ENSP00000264144	0	0	0.500	0	0.499
CSTA	TGM1	9606.ENSP00000264474	9606.ENSP00000206765	0	0	0.500	0	0.499
CSTA	DSP	9606.ENSP00000264474	9606.ENSP00000369129	0	0.436	0	0	0.436
CSTA	EVPL	9606.ENSP00000264474	9606.ENSP00000465630	0	0	0.500	0	0.499
CSTA	SPRR1B	9606.ENSP00000264474	9606.ENSP00000306461	0	0	0.500	0	0.499
CSTA	PPL	9606.ENSP00000264474	9606.ENSP00000340510	0	0	0.500	0	0.499
CSTA	SPRR1A	9606.ENSP00000264474	9606.ENSP00000357751	0	0	0.500	0	0.499
CSTA	SPRR2G	9606.ENSP00000264474	9606.ENSP00000357737	0	0	0.500	0	0.499
CSTA	LCE2B	9606.ENSP00000264474	9606.ENSP00000357769	0	0	0.500	0	0.499
CSTA	LCE1B	9606.ENSP00000264474	9606.ENSP00000353203	0	0	0.500	0	0.499
CSTA	LOR	9606.ENSP00000264474	9606.ENSP00000357731	0	0.292	0.500	0	0.630
CSTA	IVL	9606.ENSP00000264474	9606.ENSP00000357753	0	0.292	0.500	0	0.630
CTNNBIP1	JUP	9606.ENSP00000366474	9606.ENSP00000377508	0	0.524	0	0	0.524
CYP3A5	CYP3A7	9606.ENSP00000222982	9606.ENSP00000337450	0	0.527	0.900	0	0.950
CYP4F12	CYP4F2	9606.ENSP00000448998	9606.ENSP00000221700	0	0.460	0	0	0.459
CYP4F12	CYP4F8	9606.ENSP00000448998	9606.ENSP00000477567	0	0.414	0	0	0.414
CYP4F2	CYP4F3	9606.ENSP00000221700	9606.ENSP00000221307	0	0	0.900	0	0.900
CYSRT1	PLLP	9606.ENSP00000386453	9606.ENSP00000219207	0	0.591	0	0	0.591
DSC1	DSG3	9606.ENSP00000257198	9606.ENSP00000257189	0	0	0.500	0	0.499
DSC1	DSG1	9606.ENSP00000257198	9606.ENSP00000257192	0	0.457	0.500	0	0.716
DSC1	FLG	9606.ENSP00000257198	9606.ENSP00000357789	0	0	0.500	0	0.499
DSC1	PKP3	9606.ENSP00000257198	9606.ENSP00000331678	0	0.230	0.500	0	0.598
DSC1	PKP1	9606.ENSP00000257198	9606.ENSP00000263946	0	0.478	0.500	0	0.728
DSC1	JUP	9606.ENSP00000257198	9606.ENSP00000377508	0	0.459	0.500	0	0.717
DSC1	DSP	9606.ENSP00000257198	9606.ENSP00000369129	0	0.457	0.500	0	0.716
DSC2	DSG3	9606.ENSP00000280904	9606.ENSP00000257189	0	0	0.500	0	0.499
DSC2	DSG1	9606.ENSP00000280904	9606.ENSP00000257192	0	0.292	0.500	0	0.630
DSC2	PKP1	9606.ENSP00000280904	9606.ENSP00000263946	0	0.042	0.500	0	0.500
DSC2	FLG	9606.ENSP00000280904	9606.ENSP00000357789	0	0	0.500	0	0.499
DSC2	JUP	9606.ENSP00000280904	9606.ENSP00000377508	0	0.292	0.500	0	0.630
DSC2	PKP3	9606.ENSP00000280904	9606.ENSP00000331678	0	0.230	0.500	0	0.598
DSC2	DSP	9606.ENSP00000280904	9606.ENSP00000369129	0	0.292	0.500	0	0.630
DSC3	DSG3	9606.ENSP00000353608	9606.ENSP00000257189	0	0	0.500	0	0.499
DSC3	DSG1	9606.ENSP00000353608	9606.ENSP00000257192	0	0	0.500	0	0.499
DSC3	PKP1	9606.ENSP00000353608	9606.ENSP00000263946	0	0.042	0.500	0	0.500
DSC3	PKP3	9606.ENSP00000353608	9606.ENSP00000331678	0	0.292	0.500	0	0.631
DSC3	FLG	9606.ENSP00000353608	9606.ENSP00000357789	0	0	0.500	0	0.499
DSC3	JUP	9606.ENSP00000353608	9606.ENSP00000377508	0	0.292	0.500	0	0.630
DSC3	DSP	9606.ENSP00000353608	9606.ENSP00000369129	0	0	0.500	0	0.499
DSG1	FLG	9606.ENSP00000257192	9606.ENSP00000357789	0	0.243	0.500	0	0.605
DSG1	PKP3	9606.ENSP00000257192	9606.ENSP00000331678	0	0.292	0.500	0	0.631
DSG1	PKP1	9606.ENSP00000257192	9606.ENSP00000263946	0	0.476	0.500	0	0.727
DSG1	JUP	9606.ENSP00000257192	9606.ENSP00000377508	0	0.457	0.500	0	0.716
DSG1	DSP	9606.ENSP00000257192	9606.ENSP00000369129	0	0.457	0.500	0	0.716
DSG3	FLG	9606.ENSP00000257189	9606.ENSP00000357789	0	0	0.500	0	0.499
DSG3	DSP	9606.ENSP00000257189	9606.ENSP00000369129	0	0	0.500	0	0.499
DSG3	PKP1	9606.ENSP00000257189	9606.ENSP00000263946	0	0.042	0.500	0	0.500
DSG3	JUP	9606.ENSP00000257189	9606.ENSP00000377508	0	0.292	0.500	0	0.630
DSG3	PKP3	9606.ENSP00000257189	9606.ENSP00000331678	0	0.292	0.500	0	0.631
DSP	KRT1	9606.ENSP00000369129	9606.ENSP00000252244	0	0.457	0	0	0.457
DSP	PKP1	9606.ENSP00000369129	9606.ENSP00000263946	0	0.482	0.500	0	0.729
DSP	PKP3	9606.ENSP00000369129	9606.ENSP00000331678	0	0.230	0.500	0	0.598
DSP	KRT19	9606.ENSP00000369129	9606.ENSP00000355124	0	0.497	0	0	0.497
DSP	FLG	9606.ENSP00000369129	9606.ENSP00000357789	0	0	0.500	0	0.499
DSP	JUP	9606.ENSP00000369129	9606.ENSP00000377508	0	0.499	0.800	0	0.895
EFNA3	EPHB6	9606.ENSP00000357393	9606.ENSP00000481994	0	0	0.500	0	0.499
EPN3	FGFR3	9606.ENSP00000268933	9606.ENSP00000339824	0	0	0.650	0	0.650
EPN3	FGFR2	9606.ENSP00000268933	9606.ENSP00000410294	0	0	0.650	0	0.650
EVPL	TGM1	9606.ENSP00000465630	9606.ENSP00000206765	0	0	0.500	0	0.499
EVPL	SPRR1B	9606.ENSP00000465630	9606.ENSP00000306461	0	0	0.500	0	0.499
EVPL	PPL	9606.ENSP00000465630	9606.ENSP00000340510	0	0.457	0.900	0	0.943
EVPL	LCE1B	9606.ENSP00000465630	9606.ENSP00000353203	0	0	0.500	0	0.499
EVPL	LOR	9606.ENSP00000465630	9606.ENSP00000357731	0	0	0.500	0	0.499
EVPL	SPRR2G	9606.ENSP00000465630	9606.ENSP00000357737	0	0	0.500	0	0.499
EVPL	SPRR1A	9606.ENSP00000465630	9606.ENSP00000357751	0	0	0.500	0	0.499
EVPL	IVL	9606.ENSP00000465630	9606.ENSP00000357753	0	0	0.500	0	0.499
EVPL	LCE2B	9606.ENSP00000465630	9606.ENSP00000357769	0	0	0.500	0	0.499
FGFR2	FGFR3	9606.ENSP00000410294	9606.ENSP00000339824	0	0.523	0.900	0	0.950
FLG	PKP1	9606.ENSP00000357789	9606.ENSP00000263946	0	0.235	0.500	0	0.601
FLG	PKP3	9606.ENSP00000357789	9606.ENSP00000331678	0	0	0.500	0	0.499
FLG	KLK5	9606.ENSP00000357789	9606.ENSP00000337733	0	0.626	0	0	0.626
FLG	JUP	9606.ENSP00000357789	9606.ENSP00000377508	0	0	0.500	0	0.499
GRHL1	GRHL2	9606.ENSP00000324693	9606.ENSP00000495564	0	0.518	0	0	0.518
GSTA3	GSTO2	9606.ENSP00000211122	9606.ENSP00000345023	0	0	0.500	0	0.499
IL20RA	IL20RB	9606.ENSP00000314976	9606.ENSP00000328133	0	0.946	0.800	0	0.988
ITGB4	JUP	9606.ENSP00000200181	9606.ENSP00000377508	0	0.529	0	0	0.529
ITGB4	LAMC2	9606.ENSP00000200181	9606.ENSP00000264144	0	0	0.500	0	0.499
ITGB4	SDC1	9606.ENSP00000200181	9606.ENSP00000370542	0	0.292	0.500	0	0.630
IVL	TGM1	9606.ENSP00000357753	9606.ENSP00000206765	0	0	0.900	0	0.900
IVL	SPRR1B	9606.ENSP00000357753	9606.ENSP00000306461	0	0	0.500	0	0.499
IVL	PPL	9606.ENSP00000357753	9606.ENSP00000340510	0	0	0.500	0	0.499
IVL	LCE1B	9606.ENSP00000357753	9606.ENSP00000353203	0	0	0.500	0	0.499
IVL	LOR	9606.ENSP00000357753	9606.ENSP00000357731	0	0.292	0.500	0	0.630
IVL	SPRR2G	9606.ENSP00000357753	9606.ENSP00000357737	0	0	0.500	0	0.499
IVL	SPRR1A	9606.ENSP00000357753	9606.ENSP00000357751	0	0	0.500	0	0.499
IVL	LCE2B	9606.ENSP00000357753	9606.ENSP00000357769	0	0	0.500	0	0.499
JUP	PKP1	9606.ENSP00000377508	9606.ENSP00000263946	0	0	0.500	0	0.499
JUP	PKP3	9606.ENSP00000377508	9606.ENSP00000331678	0	0.230	0.500	0	0.598
KLK5	SPINK5	9606.ENSP00000337733	9606.ENSP00000352936	0	0	0.900	0	0.900
KRT1	KRT5	9606.ENSP00000252244	9606.ENSP00000252242	0	0.729	0.400	0	0.830
KRT1	KRT79	9606.ENSP00000252244	9606.ENSP00000328358	0	0	0.400	0	0.400
KRT1	KRT78	9606.ENSP00000252244	9606.ENSP00000306261	0	0	0.400	0	0.400
KRT1	KRT80	9606.ENSP00000252244	9606.ENSP00000378292	0	0	0.400	0	0.400
KRT1	KRT75	9606.ENSP00000252244	9606.ENSP00000252245	0	0	0.400	0	0.400
KRT1	KRT15	9606.ENSP00000252244	9606.ENSP00000377546	0	0.431	0	0	0.430
KRT1	KRT6B	9606.ENSP00000252244	9606.ENSP00000252252	0	0	0.400	0	0.400
KRT1	KRT77	9606.ENSP00000252244	9606.ENSP00000342710	0	0.721	0.400	0	0.825
KRT1	KRT2	9606.ENSP00000252244	9606.ENSP00000310861	0	0.715	0.400	0	0.821
KRT14	KRT33A	9606.ENSP00000167586	9606.ENSP00000007735	0	0	0.400	0	0.400
KRT14	KRT15	9606.ENSP00000167586	9606.ENSP00000377546	0	0	0.400	0	0.400
KRT14	KRT23	9606.ENSP00000167586	9606.ENSP00000209718	0	0	0.400	0	0.400
KRT14	KRT19	9606.ENSP00000167586	9606.ENSP00000355124	0	0	0.400	0	0.400
KRT14	KRT31	9606.ENSP00000167586	9606.ENSP00000251645	0	0	0.400	0	0.400
KRT14	KRT5	9606.ENSP00000167586	9606.ENSP00000252242	0	0.967	0	0	0.967
KRT15	KRT33A	9606.ENSP00000377546	9606.ENSP00000007735	0	0	0.400	0	0.400
KRT15	KRT23	9606.ENSP00000377546	9606.ENSP00000209718	0	0	0.400	0	0.400
KRT15	KRT31	9606.ENSP00000377546	9606.ENSP00000251645	0	0	0.400	0	0.400
KRT15	KRT2	9606.ENSP00000377546	9606.ENSP00000310861	0	0.433	0	0	0.433
KRT15	KRT19	9606.ENSP00000377546	9606.ENSP00000355124	0	0.193	0.400	0	0.495
KRT19	KRT33A	9606.ENSP00000355124	9606.ENSP00000007735	0	0	0.400	0	0.400
KRT19	KRT23	9606.ENSP00000355124	9606.ENSP00000209718	0	0	0.400	0	0.400
KRT19	KRT31	9606.ENSP00000355124	9606.ENSP00000251645	0	0	0.400	0	0.400
KRT19	KRT80	9606.ENSP00000355124	9606.ENSP00000378292	0	0.591	0	0	0.591
KRT2	KRT31	9606.ENSP00000310861	9606.ENSP00000251645	0	0.460	0	0	0.459
KRT2	KRT5	9606.ENSP00000310861	9606.ENSP00000252242	0	0.724	0.400	0	0.827
KRT2	KRT75	9606.ENSP00000310861	9606.ENSP00000252245	0	0	0.400	0	0.400
KRT2	KRT6B	9606.ENSP00000310861	9606.ENSP00000252252	0	0	0.400	0	0.400
KRT2	KRT78	9606.ENSP00000310861	9606.ENSP00000306261	0	0	0.400	0	0.400
KRT2	KRT80	9606.ENSP00000310861	9606.ENSP00000378292	0	0	0.400	0	0.400
KRT2	KRT79	9606.ENSP00000310861	9606.ENSP00000328358	0	0	0.400	0	0.400
KRT2	KRT77	9606.ENSP00000310861	9606.ENSP00000342710	0	0.715	0.400	0	0.821
KRT23	KRT33A	9606.ENSP00000209718	9606.ENSP00000007735	0	0	0.400	0	0.400
KRT23	KRT31	9606.ENSP00000209718	9606.ENSP00000251645	0	0	0.400	0	0.400
KRT31	KRT33A	9606.ENSP00000251645	9606.ENSP00000007735	0	0	0.400	0	0.400
KRT5	KRT78	9606.ENSP00000252242	9606.ENSP00000306261	0	0	0.400	0	0.400
KRT5	KRT79	9606.ENSP00000252242	9606.ENSP00000328358	0	0	0.400	0	0.400
KRT5	KRT6B	9606.ENSP00000252242	9606.ENSP00000252252	0	0	0.400	0	0.400
KRT5	KRT77	9606.ENSP00000252242	9606.ENSP00000342710	0	0	0.400	0	0.400
KRT5	KRT75	9606.ENSP00000252242	9606.ENSP00000252245	0	0	0.400	0	0.400
KRT5	KRT80	9606.ENSP00000252242	9606.ENSP00000378292	0	0	0.400	0	0.400
KRT6B	KRT75	9606.ENSP00000252252	9606.ENSP00000252245	0	0	0.400	0	0.400
KRT6B	KRT80	9606.ENSP00000252252	9606.ENSP00000378292	0	0	0.400	0	0.400
KRT6B	KRT77	9606.ENSP00000252252	9606.ENSP00000342710	0	0	0.400	0	0.400
KRT6B	KRT79	9606.ENSP00000252252	9606.ENSP00000328358	0	0	0.400	0	0.400
KRT6B	KRT78	9606.ENSP00000252252	9606.ENSP00000306261	0	0	0.400	0	0.400
KRT75	KRT77	9606.ENSP00000252245	9606.ENSP00000342710	0	0	0.400	0	0.400
KRT75	KRT80	9606.ENSP00000252245	9606.ENSP00000378292	0	0	0.400	0	0.400
KRT75	KRT78	9606.ENSP00000252245	9606.ENSP00000306261	0	0	0.400	0	0.400
KRT75	KRT79	9606.ENSP00000252245	9606.ENSP00000328358	0	0	0.400	0	0.400
KRT77	KRT78	9606.ENSP00000342710	9606.ENSP00000306261	0	0	0.400	0	0.400
KRT77	KRT79	9606.ENSP00000342710	9606.ENSP00000328358	0	0	0.400	0	0.400
KRT77	KRT80	9606.ENSP00000342710	9606.ENSP00000378292	0	0	0.400	0	0.400
KRT78	KRT79	9606.ENSP00000306261	9606.ENSP00000328358	0	0	0.400	0	0.400
KRT78	KRT80	9606.ENSP00000306261	9606.ENSP00000378292	0	0	0.400	0	0.400
KRT79	KRT80	9606.ENSP00000328358	9606.ENSP00000378292	0	0	0.400	0	0.400
LCE1B	TGM1	9606.ENSP00000353203	9606.ENSP00000206765	0	0.131	0.500	0	0.546
LCE1B	SPRR1B	9606.ENSP00000353203	9606.ENSP00000306461	0	0	0.500	0	0.499
LCE1B	PPL	9606.ENSP00000353203	9606.ENSP00000340510	0	0	0.500	0	0.499
LCE1B	SPRR1A	9606.ENSP00000353203	9606.ENSP00000357751	0	0	0.500	0	0.499
LCE1B	LOR	9606.ENSP00000353203	9606.ENSP00000357731	0	0	0.500	0	0.499
LCE1B	SPRR2G	9606.ENSP00000353203	9606.ENSP00000357737	0	0	0.500	0	0.499
LCE2B	TGM1	9606.ENSP00000357769	9606.ENSP00000206765	0	0	0.500	0	0.499
LCE2B	SPRR1B	9606.ENSP00000357769	9606.ENSP00000306461	0	0	0.500	0	0.499
LCE2B	PPL	9606.ENSP00000357769	9606.ENSP00000340510	0	0	0.500	0	0.499
LCE2B	LOR	9606.ENSP00000357769	9606.ENSP00000357731	0	0	0.500	0	0.499
LCE2B	SPRR2G	9606.ENSP00000357769	9606.ENSP00000357737	0	0	0.500	0	0.499
LCE2B	SPRR1A	9606.ENSP00000357769	9606.ENSP00000357751	0	0	0.500	0	0.499
LOR	TGM1	9606.ENSP00000357731	9606.ENSP00000206765	0	0	0.500	0	0.499
LOR	SPRR1B	9606.ENSP00000357731	9606.ENSP00000306461	0	0	0.500	0	0.499
LOR	PPL	9606.ENSP00000357731	9606.ENSP00000340510	0	0	0.500	0	0.499
LOR	SPRR2G	9606.ENSP00000357731	9606.ENSP00000357737	0	0	0.500	0	0.499
LOR	SPRR1A	9606.ENSP00000357731	9606.ENSP00000357751	0	0	0.500	0	0.499
PDZK1	PDZK1IP1	9606.ENSP00000342143	9606.ENSP00000294338	0	0.457	0	0	0.457
PKP1	PKP3	9606.ENSP00000263946	9606.ENSP00000331678	0	0	0.720	0	0.720
PPL	TGM1	9606.ENSP00000340510	9606.ENSP00000206765	0	0	0.500	0	0.499
PPL	SPRR1B	9606.ENSP00000340510	9606.ENSP00000306461	0	0.220	0.500	0	0.593
PPL	SPRR2G	9606.ENSP00000340510	9606.ENSP00000357737	0	0	0.500	0	0.499
PPL	SPRR1A	9606.ENSP00000340510	9606.ENSP00000357751	0	0	0.500	0	0.499
SCNN1A	TRPM4	9606.ENSP00000353292	9606.ENSP00000252826	0	0	0.720	0	0.720
SCNN1A	SCNN1B	9606.ENSP00000353292	9606.ENSP00000345751	0	0.960	0.900	0	0.995
SCNN1B	TRPM4	9606.ENSP00000345751	9606.ENSP00000252826	0	0	0.720	0	0.720
SPRR1A	TGM1	9606.ENSP00000357751	9606.ENSP00000206765	0	0	0.500	0	0.499
SPRR1B	TGM1	9606.ENSP00000306461	9606.ENSP00000206765	0	0	0.500	0	0.499
SPRR2G	TGM1	9606.ENSP00000357737	9606.ENSP00000206765	0	0	0.500	0	0.499
